,open,close,high,low
2017-01-19,5988.562,5985.907,6024.127,5973.805
2017-01-20,5983.749,6022.508,6029.644,5982.402
2017-01-23,6030.619,6021.992,6052.712,6008.883
2017-01-24,6023.375,6046.716,6060.992,6017.769
2017-01-25,6039.053,6065.957,6066.25,6028.286
2017-01-26,6068.522,6084.233,6109.464,6068.522
2017-02-03,6088.875,6017.804,6092.187,6015.266
2017-02-06,6032.357,6027.763,6050.16,6010.108
2017-02-07,6025.52,6013.43,6034.815,5998.865
2017-02-08,6007.159,6034.576,6035.813,5981.035
2017-02-09,6032.511,6054.507,6080.782,6028.562
2017-02-10,6062.536,6093.426,6105.993,6061.322
2017-02-13,6099.555,6134.609,6142.794,6099.064
2017-02-14,6140.257,6123.809,6144.227,6106.066
2017-02-15,6130.279,6135.48,6171.224,6123.842
2017-02-16,6140.037,6160.418,6160.489,6125.515
2017-02-17,6165.194,6117.436,6183.925,6113.113
2017-02-20,6115.807,6219.823,6224.631,6115.807
2017-02-21,6224.635,6221.942,6259.642,6213.997
2017-02-22,6220.284,6232.708,6233.521,6202.675
2017-02-23,6229.996,6196.021,6241.353,6176.698
2017-02-24,6189.283,6193.982,6195.172,6155.855
2017-02-27,6186.01,6145.06,6188.42,6132.98
2017-02-28,6143.224,6154.762,6174.937,6141.707
2017-03-01,6155.542,6155.67,6187.648,6148.972
2017-03-02,6167.17,6108.005,6174.625,6107.267
2017-03-03,6094.091,6089.703,6095.987,6069.521
2017-03-06,6084.099,6109.206,6124.035,6081.774
2017-03-07,6108.184,6121.737,6122.544,6098.257
2017-03-08,6115.217,6123.799,6137.776,6106.221
2017-03-09,6111.443,6090.0,6112.64,6062.707
2017-03-10,6082.115,6088.196,6098.501,6078.749
2017-03-13,6083.805,6130.864,6131.082,6061.241
2017-03-14,6128.846,6139.759,6153.389,6125.254
2017-03-15,6132.152,6152.722,6156.842,6121.426
2017-03-16,6166.286,6172.088,6200.843,6160.5
2017-03-17,6179.171,6104.517,6183.047,6093.802
2017-03-20,6116.975,6107.634,6127.982,6073.719
2017-03-21,6112.607,6138.759,6140.036,6105.068
2017-03-22,6113.085,6090.617,6129.55,6069.464
2017-03-23,6094.467,6124.026,6135.379,6082.499
2017-03-24,6130.096,6171.785,6194.384,6120.559
2017-03-27,6168.398,6160.61,6217.064,6151.769
2017-03-28,6167.275,6142.012,6168.473,6127.507
2017-03-29,6144.611,6133.01,6158.614,6118.629
2017-03-30,6128.228,6109.253,6142.259,6076.567
2017-03-31,6103.679,6155.257,6158.03,6096.962
2017-04-05,6188.763,6211.329,6212.886,6168.632
2017-04-06,6211.548,6228.483,6233.881,6190.667
2017-04-07,6222.594,6220.119,6237.366,6205.135
2017-04-10,6218.862,6197.734,6226.458,6192.097
2017-04-11,6189.521,6195.662,6209.118,6111.554
2017-04-12,6183.962,6187.225,6207.913,6145.956
2017-04-13,6165.839,6173.714,6183.957,6156.444
2017-04-14,6175.122,6132.475,6177.682,6108.017
2017-04-17,6115.384,6144.375,6147.388,6086.743
2017-04-18,6133.355,6101.75,6145.481,6101.634
2017-04-19,6087.972,6079.094,6097.245,6039.683
2017-04-20,6076.782,6101.169,6109.032,6073.776
2017-04-21,6101.307,6148.254,6153.98,6093.268
2017-04-24,6133.885,6113.631,6133.885,6071.44
2017-04-25,6102.486,6126.154,6134.462,6092.862
2017-04-26,6129.496,6128.772,6173.311,6124.75
2017-04-27,6110.989,6135.647,6137.852,6071.864
2017-04-28,6131.75,6123.119,6131.75,6077.063
2017-05-02,6101.509,6097.5,6127.953,6085.069
2017-05-03,6093.049,6074.178,6108.368,6056.829
2017-05-04,6065.288,6062.884,6083.269,6043.125
2017-05-05,6044.923,6051.483,6051.526,5993.464
2017-05-08,6023.237,6049.162,6049.906,5989.052
2017-05-09,6021.139,6028.717,6042.002,6004.185
2017-05-10,6026.187,6046.211,6077.661,6025.215
2017-05-11,6025.298,6105.152,6108.737,6015.179
2017-05-12,6096.197,6194.283,6195.631,6092.822
2017-05-15,6203.623,6207.101,6233.374,6198.017
2017-05-16,6188.609,6210.124,6210.669,6147.268
2017-05-17,6196.658,6154.48,6202.82,6150.909
2017-05-18,6120.777,6134.044,6156.18,6117.917
2017-05-19,6129.161,6149.386,6154.18,6129.161
2017-05-22,6145.288,6201.823,6202.702,6142.984
2017-05-23,6194.313,6284.819,6285.691,6186.824
2017-05-24,6264.011,6279.491,6284.906,6211.348
2017-05-25,6256.542,6437.789,6452.803,6255.799
2017-05-26,6425.319,6443.239,6469.223,6418.336
2017-05-31,6453.845,6475.442,6517.455,6416.487
2017-06-01,6464.565,6514.339,6517.218,6446.005
2017-06-02,6508.026,6467.75,6523.76,6462.024
2017-06-05,6448.373,6405.768,6457.785,6390.05
2017-06-06,6398.131,6457.285,6457.583,6392.008
2017-06-07,6459.985,6509.595,6525.396,6452.395
2017-06-08,6503.118,6578.295,6580.341,6495.776
2017-06-09,6578.72,6610.959,6661.151,6575.816
2017-06-12,6605.564,6636.291,6692.489,6599.943
