,0,1
503,600277.XSHG,5.29
504,002447.XSHE,3.79
505,300019.XSHE,5.89
506,603060.XSHG,17.67
507,300515.XSHE,8.92
508,002025.XSHE,26.66
509,300394.XSHE,21.3
510,000030.XSHE,4.28
511,000716.XSHE,3.21
512,300624.XSHE,64.7
513,601368.XSHG,6.59
514,300216.XSHE,3.64
515,002483.XSHE,4.17
516,600594.XSHG,7.26
517,002163.XSHE,5.15
518,002182.XSHE,7.0
519,600763.XSHG,54.38
520,300184.XSHE,9.37
521,000553.XSHE,12.41
522,300341.XSHE,4.72
523,002848.XSHE,8.1
524,603601.XSHG,7.13
525,000739.XSHE,7.05
526,002873.XSHE,18.08
527,600267.XSHG,11.95
528,300156.XSHE,5.67
529,600780.XSHG,3.57
530,000962.XSHE,5.81
531,600255.XSHG,2.21
532,300249.XSHE,6.79
533,300155.XSHE,4.56
534,601107.XSHG,3.44
535,300726.XSHE,26.73
536,000612.XSHE,4.71
537,000157.XSHE,3.83
538,002127.XSHE,7.4
539,002411.XSHE,28.34
540,600992.XSHG,7.43
541,300200.XSHE,8.1
542,002746.XSHE,16.45
543,603099.XSHG,9.75
544,300337.XSHE,5.57
545,600960.XSHG,6.42
546,603937.XSHG,14.85
547,002857.XSHE,11.19
548,002500.XSHE,6.35
549,002736.XSHE,8.26
550,000533.XSHE,3.12
551,600597.XSHG,9.59
552,000950.XSHE,7.51
553,002245.XSHE,4.59
554,300294.XSHE,31.59
555,600386.XSHG,3.58
556,300326.XSHE,9.91
557,002118.XSHE,5.98
558,000061.XSHE,5.13
559,300462.XSHE,15.93
560,600392.XSHG,9.94
561,600527.XSHG,2.41
562,300681.XSHE,42.9
563,600567.XSHG,3.79
564,603023.XSHG,5.59
565,600758.XSHG,3.98
566,600031.XSHG,8.96
567,603536.XSHG,8.64
568,600006.XSHG,3.85
569,300097.XSHE,11.49
570,603178.XSHG,11.07
571,600891.XSHG,4.93
572,002121.XSHE,5.78
573,600366.XSHG,4.98
574,300508.XSHE,24.35
575,603885.XSHG,12.52
576,000933.XSHE,5.15
577,300391.XSHE,10.03
578,000736.XSHE,9.47
579,300069.XSHE,10.15
580,300520.XSHE,19.31
581,300070.XSHE,10.98
582,300502.XSHE,18.15
583,002591.XSHE,6.29
584,002317.XSHE,10.08
585,002717.XSHE,9.58
586,600149.XSHG,5.6
587,600131.XSHG,8.32
588,600388.XSHG,10.35
589,600110.XSHG,4.55
590,600372.XSHG,13.4
591,300702.XSHE,15.1
592,002708.XSHE,4.64
593,000005.XSHE,2.99
594,600739.XSHG,13.55
595,600857.XSHG,8.79
596,000561.XSHE,6.11
597,300597.XSHE,14.48
598,603496.XSHG,22.04
599,603538.XSHG,14.3
600,601717.XSHG,6.36
601,002448.XSHE,6.44
602,002225.XSHE,4.89
603,600265.XSHG,25.67
604,002890.XSHE,19.91
605,600827.XSHG,9.16
606,000518.XSHE,4.1
607,000877.XSHE,8.31
608,300334.XSHE,7.28
609,601058.XSHG,2.56
610,600201.XSHG,15.12
611,002815.XSHE,18.2
612,002231.XSHE,6.24
613,300519.XSHE,16.92
614,000422.XSHE,2.94
615,600232.XSHG,5.77
616,300719.XSHE,13.76
617,300737.XSHE,10.8
618,000751.XSHE,3.14
619,002233.XSHE,12.78
620,600272.XSHG,7.52
621,300131.XSHE,5.7
622,600230.XSHG,23.23
623,300631.XSHE,18.21
624,000909.XSHE,7.36
625,600336.XSHG,3.78
626,601117.XSHG,6.44
627,300364.XSHE,6.59
628,002691.XSHE,8.51
629,603188.XSHG,9.44
630,300422.XSHE,11.98
631,002112.XSHE,6.62
632,300569.XSHE,12.45
633,002138.XSHE,17.62
634,000707.XSHE,3.24
635,002885.XSHE,18.63
636,300324.XSHE,9.49
637,300098.XSHE,7.36
638,603650.XSHG,27.91
639,600662.XSHG,3.97
640,600579.XSHG,8.59
641,002285.XSHE,6.2
642,600259.XSHG,23.6
643,300396.XSHE,17.15
644,601908.XSHG,3.96
645,300572.XSHE,50.5
646,600872.XSHG,28.8
647,002507.XSHE,24.68
648,600712.XSHG,4.97
649,600362.XSHG,14.27
650,000504.XSHE,10.6
651,300146.XSHE,19.56
652,002145.XSHE,3.71
653,603041.XSHG,14.55
654,300206.XSHE,6.16
655,000510.XSHE,4.86
656,002555.XSHE,9.8
657,300047.XSHE,13.71
658,600622.XSHG,6.38
659,000066.XSHE,6.55
660,300052.XSHE,10.21
661,600590.XSHG,6.48
662,002523.XSHE,3.5
663,000037.XSHE,5.81
664,000410.XSHE,7.65
665,002514.XSHE,5.55
666,000735.XSHE,10.42
667,600984.XSHG,5.51
668,600165.XSHG,3.58
669,002901.XSHE,32.56
670,000880.XSHE,7.33
671,600755.XSHG,6.96
672,000973.XSHE,3.67
673,300389.XSHE,19.3
674,002335.XSHE,16.09
675,600216.XSHG,9.85
676,600581.XSHG,4.89
677,002361.XSHE,4.0
678,600163.XSHG,3.35
679,300423.XSHE,20.25
680,000428.XSHE,2.73
681,600887.XSHG,23.74
682,603360.XSHG,12.5
683,300017.XSHE,10.07
684,002751.XSHE,27.15
685,002424.XSHE,9.82
686,002780.XSHE,13.2
687,002012.XSHE,5.9
688,300118.XSHE,6.5
689,300639.XSHE,16.75
690,600815.XSHG,3.7
691,000417.XSHE,5.17
692,002628.XSHE,5.69
693,002329.XSHE,4.01
694,600082.XSHG,4.38
695,600475.XSHG,9.9
696,603936.XSHG,17.77
697,603683.XSHG,16.9
698,603717.XSHG,9.59
699,600580.XSHG,7.5
700,600010.XSHG,1.52
701,300190.XSHE,5.32
702,600526.XSHG,5.33
703,000419.XSHE,4.69
704,000965.XSHE,4.24
705,300583.XSHE,36.5
706,002594.XSHE,43.67
707,000863.XSHE,4.2
708,601231.XSHG,8.8
709,601555.XSHG,6.34
710,300350.XSHE,5.25
711,600737.XSHG,7.79
712,600215.XSHG,6.85
713,002105.XSHE,4.1
714,603798.XSHG,10.83
715,002723.XSHE,16.2
716,300441.XSHE,7.79
717,300705.XSHE,17.61
718,300232.XSHE,9.24
719,600654.XSHG,2.15
720,000931.XSHE,5.75
721,000936.XSHE,5.17
722,603507.XSHG,19.64
723,601882.XSHG,8.76
724,603660.XSHG,18.27
