证券代码,证券简称,现金流量比 2017一季,现金流量比 2017中报,现金流量比 2017三季,现金流量比 2017年报,现金流量比 2018一季,现金流量比 2018中报,估价全价 2017-10-10,估价修正久期 2017-10-10,估价全价 2018-09-14,估价修正久期 2017-12-29,估价全价 2018-06-29,估价修正久期 2018-06-29,估价修正久期 2018-03-30,估价修正久期 2018-09-14,估价全价 2017-12-29,估价全价 2018-03-30,"债项评级  2018-09-14 ","债项评级  2018-06-29 ","债项评级  2018-03-30 ","债项评级  2017-12-29 ","债项评级  2017-10-10 ","资产负债率  2017一季 ","资产负债率  2017中报 ","资产负债率  2017三季 ","资产负债率  2017年报 ","资产负债率  2018一季 ","资产负债率  2018中报 "
124376.SH,PR渝物流,-0.0446,0.0239,0.0079,0.4551,0.0636,-0.0371,87.5816,1.3114,65.2442,1.6228,63.9598,1.1577,1.3948,0.971,61.9027,63.1392,AA+,AA+,AA+,AA+,AA+,60.8827,62.4772,65.2376,61.309,61.1758,59.0273
124377.SH,PR渝碚城,,0.0241,,0.0244,,0.0107,87.7735,1.2992,65.3784,1.612,64.0686,1.1478,1.3844,0.9614,61.9469,63.2143,AA+,AA+,AA+,AA+,AA+,,61.404,,61.3419,,61.3359
124378.SH,PR湘九华,-0.0367,0.0452,0.083,0.1406,0.0526,0.0887,87.3887,1.2955,64.5181,1.6089,63.6687,1.1405,1.3804,0.9427,61.7321,62.9583,AA,AA,AA,AA,AA,59.8042,59.3319,59.2458,59.9643,58.3758,57.388
124380.SH,PR曹妃甸,0.0312,0.0367,0.0316,0.0092,0.0152,0.019,86.611,1.2629,64.0561,1.581,62.9301,1.113,1.3534,0.9202,60.8773,62.1826,AA,AA,AA,AA,AA,60.7591,58.6402,57.0328,55.0244,54.6641,52.4428
124384.SH,PR雅发投,-0.1174,-0.0757,-0.1868,-0.2723,-0.0576,-0.0449,62.2649,1.7581,40.5657,1.5349,64.2691,1.0688,1.3064,1.3812,62.2623,63.4719,AA,AA,AA,AA,AA,36.3895,38.2466,39.0465,36.6681,38.1528,37.4872
124386.SH,PR新沂债,,-0.5798,,-1.2645,,-0.2689,88.1127,1.299,65.5772,1.6119,64.2815,1.1471,1.384,0.9605,62.1932,63.4451,AA,AA,AA,AA,AA,,68.6578,,67.6516,,69.3691
124387.SH,PR湛基投,,-0.0992,,0.0107,,-0.2921,87.5413,1.3262,65.2,1.6364,63.9406,1.1703,1.408,0.9833,61.9514,63.156,AA,AA,AA,AA,AA,,43.8587,,50.2739,,53.7543
124388.SH,PR任城债,,-0.3281,-1.0087,-0.3235,,-0.8496,88.0215,1.31,65.5112,1.6222,64.2243,1.157,1.3941,0.9703,62.1644,63.4031,AA,AA,AA,AA,AA,,53.2582,48.0205,54.7238,,59.968
124389.SH,PR资水务,,0.0112,,0.0117,,-0.1233,88.3257,1.32,65.6844,1.6322,64.4055,1.1665,1.4039,0.9796,62.3748,63.6008,AA,AA,AA,AA,AA,,60.3844,,46.7822,,48.1622
124390.SH,PR葫岛01,,0.1112,,0.0146,,-0.0587,87.0608,1.3021,64.9534,1.6144,63.6263,1.151,1.3872,0.965,61.4638,62.7496,AA,AA,AA,AA,AA,,37.4802,,30.6587,,30.5539
124391.SH,PR葫岛02,,0.1112,,0.0146,,-0.0587,100.8305,2.6723,88.3509,2.9552,85.9676,2.486,2.7213,2.3157,83.3318,84.6699,AA,AA,AA,AA,AA,,37.4802,,30.6587,,30.5539
124392.SH,PR荆门投,,0.6224,-0.3976,-0.2936,,-0.3067,87.6007,1.3127,65.2477,1.6236,63.9809,1.1579,1.3953,0.9709,61.9639,63.1811,AA,AA,AA,AA,AA,,56.2998,55.8343,60.5363,,61.6595
124394.SH,PR永城投,-0.4321,-0.3607,-0.6747,-0.4584,-0.1983,-0.2746,88.1611,1.3271,65.5791,1.6387,64.3041,1.1729,1.4104,0.986,62.287,63.5066,AA,AA,AA,AA,AA,42.8566,44.619,46.7806,42.3922,46.5607,46.3369
124395.SH,PR堰城投,,-0.1666,-0.174,-0.1427,-0.1981,-0.245,87.3694,1.2966,65.118,1.6073,63.8545,1.1418,1.3791,0.9549,61.8283,63.0485,AA,AA,AA,AA,AA,,65.4931,65.3018,51.6491,54.4578,54.2306
124396.SH,PR姜发展,,-0.1125,,-0.2864,,-0.2908,61.877,1.7194,40.4418,1.4989,63.7636,1.0255,1.2689,1.3485,62.0221,63.1783,AA+,AA+,AA+,AA+,AA+,,48.1156,,52.0735,,62.6198
124397.SH,PR郫国投,,-0.5644,-0.7332,-0.766,-0.047,-0.1523,87.8475,1.3002,64.4134,1.6126,63.4131,1.1316,1.3746,0.9369,62.0396,62.8238,AA+,AA+,AA+,AA+,AA+,,55.8694,52.7978,56.0269,56.3052,58.1268
124398.SH,PR株城发,0.0273,0.061,0.0823,0.0964,0.0247,0.0498,87.7154,1.3146,65.1275,1.6275,64.2686,1.1632,1.3987,0.9669,62.2159,63.3988,AA+,AA+,AA+,AA+,AA+,57.1093,61.2567,63.1404,55.3466,57.808,57.5852
124400.SH,PR渝双福,-0.2244,-0.2986,-0.416,-0.5355,-0.132,-0.3049,88.0732,1.3164,64.6529,1.6296,63.6566,1.1524,1.3956,0.9576,62.1048,63.0803,AA,AA,AA,AA,AA,48.7549,50.643,51.4323,50.5756,52.1611,52.6284
124401.SH,13冀广网,,0.0828,,0.0669,,-0.0037,110.7085,2.7415,110.2436,2.0472,107.7524,2.8231,3.0496,2.6366,103.1295,105.4497,AA,AA,AA,AA,AA,,60.574,,64.524,,70.7007
124402.SH,PR丹投01,0.1551,0.1125,0.165,0.0784,0.0986,0.0813,87.2364,1.3271,64.6269,1.6376,63.1911,1.1598,1.4037,0.9761,61.7021,62.6618,AAA,AAA,AA+,AA+,AA+,50.7035,48.8449,50.277,51.0445,49.788,49.6232
124403.SH,PR丹投02,0.1551,0.1125,0.165,0.0784,0.0986,0.0813,81.0837,0.9115,53.7183,1.2132,52.617,0.7406,0.9809,0.553,51.2114,52.0842,AAA,AAA,AAA,AAA,AAA,50.7035,48.8449,50.277,51.0445,49.788,49.6232
124404.SH,PR怀化工,,-1.0023,,-0.8911,-0.3195,-0.4031,88.0976,1.3242,64.8213,1.64,63.8185,1.1667,1.4099,0.972,62.0766,63.2415,AA,AA,AA,AA,AA,,43.9636,,45.1329,45.7831,45.1599
124405.SH,PR宝工债,-0.0071,-0.1243,-0.1332,-0.1337,,-0.0393,87.7448,1.3109,65.3382,1.6222,64.0652,1.1567,1.394,0.9698,62.034,63.2583,AA,AA,AA,AA,AA,70.9106,70.6147,71.8575,71.6267,,70.1308
124406.SH,PR荆经开,,-0.7923,-0.2895,-1.8252,,-3.8073,88.9247,1.4349,65.1721,1.7505,64.1778,1.2754,1.5198,1.0806,62.5446,63.6784,AA+,AA+,AA+,AA+,AA+,,52.0893,55.4983,55.2732,,59.4503
124407.SH,PR泰州债,-0.2817,-0.3701,-0.3382,-0.6399,-0.5862,-0.6199,99.887,2.7074,88.9694,3.0051,86.7252,2.5443,2.7819,2.3728,83.8614,85.6277,AAA,AAA,AAA,AAA,AAA,61.4824,62.2676,63.3722,57.6306,58.9747,57.2647
124408.SH,PR宛城投,,-0.0149,,0.0224,,0.2818,87.6325,1.331,65.2581,1.6417,63.9829,1.176,1.4135,0.9892,61.9646,63.184,AA+,AA+,AA,AA,AA,,44.7233,,45.3077,,46.0648
124409.SH,PR宿城投,0.017,-0.0346,-0.0072,0.0704,-0.031,-0.0133,86.952,1.3394,64.8539,1.6499,63.5485,1.1854,1.4223,0.9992,61.4667,62.7164,AA+,AA+,AA+,AA+,AA+,61.7587,59.3672,62.0527,59.7156,60.0887,62.3517
124410.SH,13国网03,0.0684,0.169,0.2629,0.306,0.1037,0.1677,107.9846,2.6177,108.0027,2.5308,106.0597,2.0721,2.3017,1.8797,101.934,104.0124,AAA,AAA,AAA,AAA,AAA,56.6182,56.9627,57.4999,57.6163,57.1029,57.1343
124411.SH,13国网04,0.0684,0.169,0.2629,0.306,0.1037,0.1677,114.1501,7.8064,113.3175,7.9077,110.4348,7.4961,7.7025,7.333,104.8946,107.6778,AAA,AAA,AAA,AAA,AAA,56.6182,56.9627,57.4999,57.6163,57.1029,57.1343
124412.SH,PR金利源,,0.0321,,0.2215,,0.0065,87.6277,1.3446,65.2432,1.6548,63.9763,1.1887,1.4263,1.0018,61.9886,63.1944,AA,AA,AA,AA,AA,,54.3314,,55.7608,,53.411
124413.SH,PR寿城投,-0.0607,-0.0587,-0.1509,0.0707,0.0211,-0.4376,87.7312,1.3135,65.3289,1.6248,64.0544,1.1593,1.3966,0.9724,62.0222,63.2471,AA,AA,AA,AA,AA,60.3793,63.1049,64.9525,67.8095,68.5666,69.8844
124415.SH,13鄂投01,0.0035,0.0276,0.0555,0.1184,0.0158,0.0718,111.093,4.1383,110.2432,3.6825,107.3275,4.0584,3.4553,3.8795,102.9469,105.2349,AAA,AAA,AAA,AAA,AAA,67.6125,66.5841,66.7284,67.5197,68.7616,69.519
124416.SH,13鄂投02,0.0035,0.0276,0.0555,0.1184,0.0158,0.0718,115.4542,7.0913,113.4833,6.8007,110.153,6.3581,6.5666,6.2028,105.1432,107.5122,AAA,AAA,AAA,AAA,AAA,67.6125,66.5841,66.7284,67.5197,68.7616,69.519
124417.SH,PR江高新,,-0.1193,,0.1054,,0.1984,88.1207,1.3562,65.5453,1.668,64.246,1.2025,1.4399,1.016,62.2045,63.4392,AA,AA,AA,AA,AA,,32.9249,,31.6067,,33.6296
124418.SH,13永利债,,0.0007,,0.1136,,0.0074,106.5003,1.7099,105.6603,1.6221,103.7516,1.1625,1.3962,0.9691,99.6239,102.075,AA+,AA+,AA+,AA+,AA+,,42.5122,,46.2073,,45.0431
124420.SH,PR盐国资,,-0.1105,-0.3928,-0.3882,,-0.0348,62.4385,1.7366,41.3886,1.5135,64.4133,1.0468,1.2847,1.3787,62.4358,63.6307,AAA,AAA,AAA,AAA,AAA,,67.0075,62.9343,62.1905,,65.6141
124421.SH,PR海新区,,-0.1083,,-0.0059,,-0.0434,87.2694,1.362,65.0222,1.6718,63.7399,1.206,1.4435,1.0194,61.7331,62.9495,AAA,AAA,AAA,AAA,AAA,,44.3846,,46.649,,49.1038
124422.SH,PR崇明债,,0.1807,,0.1904,,0.0314,81.6644,0.9501,53.9219,1.251,53.0588,0.7828,1.0197,0.5895,51.4647,52.3825,AA,AA,AA,AA,AA,,66.043,,63.1787,,61.7054
124423.SH,PR宜环科,,-0.0442,0.0462,-0.0016,-0.1957,-0.2513,87.601,1.3108,65.2571,1.6224,63.9705,1.1574,1.3944,0.9707,61.9084,63.1473,AA,AA,AA,AA,AA,,55.2018,55.577,52.3465,52.3658,52.3205
124424.SH,PR柳东城,-0.0949,0.0102,0.0097,-0.3895,-0.0434,-0.0404,88.0201,1.3366,65.5009,1.649,64.1923,1.1842,1.4211,0.9977,62.11,63.362,AA,AA,AA,AA,AA,59.0419,59.7967,61.5437,60.5718,60.6679,61.4985
124426.SH,PR澄港城,,0.0363,,0.012,,-0.0904,87.3764,1.3633,65.0964,1.6742,63.7849,1.2094,1.4464,1.0231,61.7176,62.9641,AAA,AAA,AAA,AAA,AAA,,66.9241,,66.4284,,64.1884
124427.SH,PR临河债,,-0.4296,,0.1205,,-0.2278,87.5933,1.3479,64.5097,1.6652,63.4317,1.1944,1.4364,1.0009,61.5375,62.7786,AA+,AA+,AA+,AA+,AA+,,38.0878,,39.6954,,42.4089
