,symbol,special_type,shenwan_industry,status
002343.XSHE,慈文传媒,Normal,801760.INDX,Active
000542.XSHE,TCL通讯,Normal,,Delisted
600725.XSHG,ST云维,ST,801020.INDX,Active
002365.XSHE,永安药业,Normal,801150.INDX,Active
000838.XSHE,财信发展,Normal,801180.INDX,Active
600707.XSHG,彩虹股份,Normal,801080.INDX,Active
002140.XSHE,东华科技,Normal,801720.INDX,Active
000658.XSHE,ST海洋,ST,,Delisted
002853.XSHE,皮阿诺,Normal,801140.INDX,Active
002017.XSHE,东信和平,Normal,801770.INDX,Active
603227.XSHG,雪峰科技,Normal,801030.INDX,Active
603726.XSHG,朗迪集团,Normal,801110.INDX,Active
300421.XSHE,力星股份,Normal,801890.INDX,Active
600845.XSHG,宝信软件,Normal,801750.INDX,Active
600478.XSHG,科力远,Normal,801080.INDX,Active
002111.XSHE,威海广泰,Normal,801890.INDX,Active
300664.XSHE,鹏鹞环保,Normal,801160.INDX,Active
300340.XSHE,科恒股份,Normal,801080.INDX,Active
002665.XSHE,首航节能,Normal,801730.INDX,Active
603616.XSHG,韩建河山,Normal,801710.INDX,Active
002706.XSHE,良信电器,Normal,801730.INDX,Active
600616.XSHG,金枫酒业,Normal,801120.INDX,Active
603666.XSHG,亿嘉和,Normal,801890.INDX,Active
002811.XSHE,亚泰国际,Normal,801720.INDX,Active
002805.XSHE,丰元股份,Normal,801030.INDX,Active
000517.XSHE,荣安地产,Normal,801180.INDX,Active
600008.XSHG,首创股份,Normal,801160.INDX,Active
600777.XSHG,新潮能源,Normal,801020.INDX,Active
000032.XSHE,深桑达A,Normal,801770.INDX,Active
600308.XSHG,华泰股份,Normal,801140.INDX,Active
600525.XSHG,长园集团,Normal,801730.INDX,Active
300455.XSHE,康拓红外,Normal,801750.INDX,Active
601007.XSHG,金陵饭店,Normal,801210.INDX,Active
603200.XSHG,上海洗霸,Normal,801160.INDX,Active
600766.XSHG,园城黄金,Normal,801050.INDX,Active
300066.XSHE,三川智慧,Normal,801890.INDX,Active
600379.XSHG,宝光股份,Normal,801730.INDX,Active
601700.XSHG,风范股份,Normal,801730.INDX,Active
300205.XSHE,天喻信息,Normal,801770.INDX,Active
600792.XSHG,云煤能源,Normal,801020.INDX,Active
300234.XSHE,开尔新材,Normal,801710.INDX,Active
600667.XSHG,太极实业,Normal,801080.INDX,Active
300142.XSHE,沃森生物,Normal,801150.INDX,Active
600846.XSHG,同济科技,Normal,801720.INDX,Active
002061.XSHE,浙江交科,Normal,801720.INDX,Active
002509.XSHE,天广中茂,Normal,801890.INDX,Active
300064.XSHE,豫金刚石,Normal,801890.INDX,Active
002911.XSHE,佛燃股份,Normal,801160.INDX,Active
600207.XSHG,安彩高科,Normal,801730.INDX,Active
600089.XSHG,特变电工,Normal,801730.INDX,Active
601898.XSHG,中煤能源,Normal,801020.INDX,Active
002011.XSHE,盾安环境,Normal,801110.INDX,Active
601999.XSHG,出版传媒,Normal,801760.INDX,Active
601268.XSHG,*ST二重,StarST,,Delisted
300434.XSHE,金石东方,Normal,801150.INDX,Active
600839.XSHG,四川长虹,Normal,801110.INDX,Active
