,symbol,special_type,shenwan_industry,status
600375.XSHG,华菱星马,Normal,801890.INDX,Active
000886.XSHE,海南高速,Normal,801170.INDX,Active
601311.XSHG,骆驼股份,Normal,801880.INDX,Active
600130.XSHG,波导股份,Normal,801770.INDX,Active
000796.XSHE,凯撒旅游,Normal,801210.INDX,Active
300127.XSHE,银河磁体,Normal,801050.INDX,Active
300311.XSHE,任子行,Normal,801750.INDX,Active
002155.XSHE,湖南黄金,Normal,801050.INDX,Active
603127.XSHG,昭衍新药,Normal,801150.INDX,Active
600861.XSHG,北京城乡,Normal,801200.INDX,Active
300677.XSHE,英科医疗,Normal,801150.INDX,Active
600390.XSHG,五矿资本,Normal,801790.INDX,Active
603558.XSHG,健盛集团,Normal,801130.INDX,Active
000508.XSHE,琼民源A,Normal,,Delisted
000631.XSHE,顺发恒业,Normal,801180.INDX,Active
603806.XSHG,福斯特,Normal,801730.INDX,Active
002426.XSHE,胜利精密,Normal,801890.INDX,Active
002909.XSHE,集泰股份,Normal,801030.INDX,Active
002270.XSHE,华明装备,Normal,801730.INDX,Active
002472.XSHE,双环传动,Normal,801880.INDX,Active
603225.XSHG,新凤鸣,Normal,801030.INDX,Active
002783.XSHE,凯龙股份,Normal,801030.INDX,Active
600605.XSHG,汇通能源,Normal,801200.INDX,Active
603667.XSHG,五洲新春,Normal,801890.INDX,Active
600069.XSHG,银鸽投资,Normal,801140.INDX,Active
600355.XSHG,精伦电子,Normal,801770.INDX,Active
601777.XSHG,力帆股份,Normal,801880.INDX,Active
600788.XSHG,*ST达曼,StarST,,Delisted
300666.XSHE,江丰电子,Normal,801050.INDX,Active
300212.XSHE,易华录,Normal,801750.INDX,Active
603167.XSHG,渤海轮渡,Normal,801170.INDX,Active
603808.XSHG,歌力思,Normal,801130.INDX,Active
603993.XSHG,洛阳钼业,Normal,801050.INDX,Active
002430.XSHE,杭氧股份,Normal,801890.INDX,Active
002342.XSHE,巨力索具,Normal,801890.INDX,Active
000593.XSHE,大通燃气,Normal,801160.INDX,Active
002005.XSHE,德豪润达,Normal,801080.INDX,Active
300618.XSHE,寒锐钴业,Normal,801050.INDX,Active
002720.XSHE,宏良股份,Normal,,UNKNOWN
002390.XSHE,信邦制药,Normal,801150.INDX,Active
300256.XSHE,星星科技,Normal,801080.INDX,Active
002468.XSHE,申通快递,Normal,801170.INDX,Active
603886.XSHG,元祖股份,Normal,801120.INDX,Active
002192.XSHE,融捷股份,Normal,801890.INDX,Active
300239.XSHE,东宝生物,Normal,801150.INDX,Active
603619.XSHG,中曼石油,Normal,801020.INDX,Active
000769.XSHE,*ST大菲,StarST,,Delisted
002082.XSHE,万邦德,Normal,801710.INDX,Active
300208.XSHE,恒顺众昇,Normal,801730.INDX,Active
603909.XSHG,合诚股份,Normal,801720.INDX,Active
002584.XSHE,西陇科学,Normal,801030.INDX,Active
000513.XSHE,丽珠集团,Normal,801150.INDX,Active
002058.XSHE,威尔泰,Normal,801730.INDX,Active
000791.XSHE,甘肃电投,Normal,801160.INDX,Active
000691.XSHE,亚太实业,Normal,801180.INDX,Active
002146.XSHE,荣盛发展,Normal,801180.INDX,Active
600831.XSHG,广电网络,Normal,801760.INDX,Active
300307.XSHE,慈星股份,Normal,801890.INDX,Active
300456.XSHE,耐威科技,Normal,801740.INDX,Active
002389.XSHE,南洋科技,Normal,801080.INDX,Active
600263.XSHG,路桥建设,Normal,,Delisted
000905.XSHE,厦门港务,Normal,801170.INDX,Active
600357.XSHG,承德钒钛,Normal,,Delisted
603192.XSHG,汇得科技,Normal,,UNKNOWN
300725.XSHE,药石科技,Normal,801150.INDX,Active
600736.XSHG,苏州高新,Normal,801180.INDX,Active
300029.XSHE,天龙光电,Normal,801730.INDX,Active
000565.XSHE,渝三峡A,Normal,801030.INDX,Active
603618.XSHG,杭电股份,Normal,801730.INDX,Active
600637.XSHG,东方明珠,Normal,801760.INDX,Active
600093.XSHG,易见股份,Normal,801790.INDX,Active
000813.XSHE,德展健康,Normal,801050.INDX,Active
002659.XSHE,凯文教育,Normal,801760.INDX,Active
300211.XSHE,亿通科技,Normal,801770.INDX,Active
002018.XSHE,*ST华信,StarST,801230.INDX,Active
600939.XSHG,重庆建工,Normal,801720.INDX,Active
000801.XSHE,四川九洲,Normal,801110.INDX,Active
002541.XSHE,鸿路钢构,Normal,801720.INDX,Active
601601.XSHG,中国太保,Normal,801790.INDX,Active
300497.XSHE,富祥股份,Normal,801150.INDX,Active
600081.XSHG,东风科技,Normal,801880.INDX,Active
300144.XSHE,宋城演艺,Normal,801210.INDX,Active
002624.XSHE,完美世界,Normal,801760.INDX,Active
600750.XSHG,江中药业,Normal,801150.INDX,Active
000829.XSHE,天音控股,Normal,801200.INDX,Active
002193.XSHE,如意集团,Normal,801130.INDX,Active
002065.XSHE,东华软件,Normal,801750.INDX,Active
300535.XSHE,达威股份,Normal,801030.INDX,Active
601566.XSHG,九牧王,Normal,801130.INDX,Active
603385.XSHG,惠达卫浴,Normal,801140.INDX,Active
603067.XSHG,振华股份,Normal,801030.INDX,Active
300126.XSHE,锐奇股份,Normal,801890.INDX,Active
600295.XSHG,鄂尔多斯,Normal,801020.INDX,Active
002097.XSHE,山河智能,Normal,801890.INDX,Active
300547.XSHE,川环科技,Normal,801880.INDX,Active
600517.XSHG,置信电气,Normal,801730.INDX,Active
002880.XSHE,卫光生物,Normal,801150.INDX,Active
002071.XSHE,长城影视,Normal,801760.INDX,Active
603900.XSHG,莱绅通灵,Normal,801200.INDX,Active
603348.XSHG,文灿股份,Normal,801880.INDX,Active
600633.XSHG,浙数文化,Normal,801760.INDX,Active
000681.XSHE,视觉中国,Normal,801760.INDX,Active
603388.XSHG,元成股份,Normal,801720.INDX,Active
002693.XSHE,双成药业,Normal,801150.INDX,Active
603789.XSHG,星光农机,Normal,801890.INDX,Active
300448.XSHE,浩云科技,Normal,801750.INDX,Active
300299.XSHE,富春股份,Normal,801760.INDX,Active
601872.XSHG,招商轮船,Normal,801170.INDX,Active
300284.XSHE,苏交科,Normal,801720.INDX,Active
000882.XSHE,华联股份,Normal,801200.INDX,Active
600320.XSHG,振华重工,Normal,801890.INDX,Active
002109.XSHE,兴化股份,Normal,801030.INDX,Active
300672.XSHE,国科微,Normal,801080.INDX,Active
300077.XSHE,国民技术,Normal,801080.INDX,Active
000665.XSHE,湖北广电,Normal,801760.INDX,Active
000708.XSHE,大冶特钢,Normal,801040.INDX,Active
002672.XSHE,东江环保,Normal,801160.INDX,Active
000967.XSHE,盈峰环境,Normal,801160.INDX,Active
603186.XSHG,华正新材,Normal,801080.INDX,Active
603198.XSHG,迎驾贡酒,Normal,801120.INDX,Active
002606.XSHE,大连电瓷,Normal,801730.INDX,Active
002638.XSHE,勤上股份,Normal,801760.INDX,Active
600208.XSHG,新湖中宝,Normal,801180.INDX,Active
002433.XSHE,太安堂,Normal,801150.INDX,Active
600313.XSHG,农发种业,Normal,801010.INDX,Active
600432.XSHG,退市吉恩,Other,,Delisted
002850.XSHE,科达利,Normal,801080.INDX,Active
600728.XSHG,佳都科技,Normal,801750.INDX,Active
000917.XSHE,电广传媒,Normal,801760.INDX,Active
300357.XSHE,我武生物,Normal,801150.INDX,Active
002827.XSHE,高争民爆,Normal,801030.INDX,Active
600539.XSHG,*ST狮头,StarST,801140.INDX,Active
000656.XSHE,金科股份,Normal,801180.INDX,Active
600844.XSHG,丹化科技,Normal,801030.INDX,Active
600055.XSHG,万东医疗,Normal,801150.INDX,Active
600825.XSHG,新华传媒,Normal,801760.INDX,Active
002050.XSHE,三花智控,Normal,801110.INDX,Active
300746.XSHE,汉嘉设计,Normal,801720.INDX,Active
300152.XSHE,科融环境,Normal,801160.INDX,Active
300457.XSHE,赢合科技,Normal,801890.INDX,Active
601595.XSHG,上海电影,Normal,801760.INDX,Active
600630.XSHG,龙头股份,Normal,801130.INDX,Active
600168.XSHG,武汉控股,Normal,801160.INDX,Active
300179.XSHE,四方达,Normal,801890.INDX,Active
600279.XSHG,重庆港九,Normal,801170.INDX,Active
300736.XSHE,百华悦邦,Normal,801080.INDX,Active
600705.XSHG,中航资本,Normal,801790.INDX,Active
002446.XSHE,盛路通信,Normal,801770.INDX,Active
300164.XSHE,通源石油,Normal,801020.INDX,Active
002067.XSHE,景兴纸业,Normal,801140.INDX,Active
600306.XSHG,商业城,Normal,801200.INDX,Active
300194.XSHE,福安药业,Normal,801150.INDX,Active
002714.XSHE,牧原股份,Normal,801010.INDX,Active
601166.XSHG,兴业银行,Normal,801780.INDX,Active
603939.XSHG,益丰药房,Normal,801150.INDX,Active
000155.XSHE,川化股份,Normal,801200.INDX,Active
002788.XSHE,鹭燕医药,Normal,801150.INDX,Active
000031.XSHE,中粮地产,Normal,801180.INDX,Active
300730.XSHE,科创信息,Normal,801750.INDX,Active
002369.XSHE,卓翼科技,Normal,801080.INDX,Active
300140.XSHE,中环装备,Normal,801160.INDX,Active
000003.XSHE,PT金田A,PT,,Delisted
002277.XSHE,友阿股份,Normal,801200.INDX,Active
600820.XSHG,隧道股份,Normal,801720.INDX,Active
300571.XSHE,平治信息,Normal,801770.INDX,Active
000568.XSHE,泸州老窖,Normal,801120.INDX,Active
000666.XSHE,经纬纺机,Normal,801790.INDX,Active
601127.XSHG,小康股份,Normal,801880.INDX,Active
002719.XSHE,麦趣尔,Normal,801120.INDX,Active
300042.XSHE,朗科科技,Normal,801750.INDX,Active
300193.XSHE,佳士科技,Normal,801890.INDX,Active
300260.XSHE,新莱应材,Normal,801890.INDX,Active
300438.XSHE,鹏辉能源,Normal,801080.INDX,Active
603738.XSHG,泰晶科技,Normal,801080.INDX,Active
600114.XSHG,东睦股份,Normal,801050.INDX,Active
002618.XSHE,丹邦科技,Normal,801080.INDX,Active
603860.XSHG,中公高科,Normal,801720.INDX,Active
600778.XSHG,*ST友好,StarST,801200.INDX,Active
603979.XSHG,金诚信,Normal,801020.INDX,Active
000594.XSHE,国恒退,Other,,Delisted
601113.XSHG,华鼎股份,Normal,801030.INDX,Active
600751.XSHG,海航科技,Normal,801080.INDX,Active
002401.XSHE,中远海科,Normal,801750.INDX,Active
000590.XSHE,启迪古汉,Normal,801150.INDX,Active
300398.XSHE,飞凯材料,Normal,801030.INDX,Active
603078.XSHG,江化微,Normal,801030.INDX,Active
300620.XSHE,光库科技,Normal,801770.INDX,Active
000718.XSHE,苏宁环球,Normal,801180.INDX,Active
002592.XSHE,八菱科技,Normal,801880.INDX,Active
002098.XSHE,浔兴股份,Normal,801130.INDX,Active
600327.XSHG,大东方,Normal,801880.INDX,Active
002482.XSHE,广田集团,Normal,801720.INDX,Active
600219.XSHG,南山铝业,Normal,801050.INDX,Active
300007.XSHE,汉威科技,Normal,801890.INDX,Active
002677.XSHE,浙江美大,Normal,801110.INDX,Active
600803.XSHG,新奥股份,Normal,801160.INDX,Active
002334.XSHE,英威腾,Normal,801730.INDX,Active
002601.XSHE,龙蟒佰利,Normal,801030.INDX,Active
300648.XSHE,星云股份,Normal,801890.INDX,Active
000711.XSHE,京蓝科技,Normal,801160.INDX,Active
600528.XSHG,中铁工业,Normal,801720.INDX,Active
600729.XSHG,重庆百货,Normal,801200.INDX,Active
603037.XSHG,凯众股份,Normal,801880.INDX,Active
300374.XSHE,恒通科技,Normal,801710.INDX,Active
603787.XSHG,新日股份,Normal,801880.INDX,Active
000928.XSHE,中钢国际,Normal,801720.INDX,Active
600456.XSHG,宝钛股份,Normal,801050.INDX,Active
600531.XSHG,豫光金铅,Normal,801050.INDX,Active
002137.XSHE,麦达数字,Normal,801760.INDX,Active
300075.XSHE,数字政通,Normal,801750.INDX,Active
300487.XSHE,蓝晓科技,Normal,801030.INDX,Active
603117.XSHG,万林股份,Normal,801170.INDX,Active
000538.XSHE,云南白药,Normal,801150.INDX,Active
002846.XSHE,英联股份,Normal,801140.INDX,Active
002887.XSHE,绿茵生态,Normal,801720.INDX,Active
601699.XSHG,潞安环能,Normal,801020.INDX,Active
601500.XSHG,通用股份,Normal,801030.INDX,Active
601668.XSHG,中国建筑,Normal,801720.INDX,Active
600319.XSHG,亚星化学,Normal,801030.INDX,Active
000860.XSHE,顺鑫农业,Normal,801120.INDX,Active
002386.XSHE,天原集团,Normal,801030.INDX,Active
002467.XSHE,二六三,Normal,801770.INDX,Active
002762.XSHE,金发拉比,Normal,801130.INDX,Active
000001.XSHE,平安银行,Normal,801780.INDX,Active
300436.XSHE,广生堂,Normal,801150.INDX,Active
600561.XSHG,江西长运,Normal,801170.INDX,Active
300588.XSHE,熙菱信息,Normal,801750.INDX,Active
002650.XSHE,加加食品,Normal,801120.INDX,Active
000993.XSHE,闽东电力,Normal,801230.INDX,Active
300266.XSHE,兴源环境,Normal,801160.INDX,Active
002188.XSHE,*ST巴士,StarST,801760.INDX,Active
300333.XSHE,兆日科技,Normal,801750.INDX,Active
300289.XSHE,利德曼,Normal,801150.INDX,Active
600365.XSHG,通葡股份,Normal,801120.INDX,Active
600619.XSHG,海立股份,Normal,801110.INDX,Active
002196.XSHE,方正电机,Normal,801730.INDX,Active
300546.XSHE,雄帝科技,Normal,801750.INDX,Active
000698.XSHE,沈阳化工,Normal,801030.INDX,Active
600252.XSHG,中恒集团,Normal,801150.INDX,Active
603843.XSHG,正平股份,Normal,801720.INDX,Active
300177.XSHE,中海达,Normal,801750.INDX,Active
002484.XSHE,江海股份,Normal,801080.INDX,Active
002520.XSHE,日发精机,Normal,801890.INDX,Active
601179.XSHG,中国西电,Normal,801730.INDX,Active
300408.XSHE,三环集团,Normal,801080.INDX,Active
000088.XSHE,盐田港,Normal,801170.INDX,Active
002884.XSHE,凌霄泵业,Normal,801890.INDX,Active
603042.XSHG,华脉科技,Normal,801770.INDX,Active
000021.XSHE,深科技,Normal,801750.INDX,Active
002240.XSHE,威华股份,Normal,801140.INDX,Active
002256.XSHE,兆新股份,Normal,801030.INDX,Active
300150.XSHE,世纪瑞尔,Normal,801750.INDX,Active
000625.XSHE,长安汽车,Normal,801880.INDX,Active
600682.XSHG,南京新百,Normal,801200.INDX,Active
603903.XSHG,中持股份,Normal,801160.INDX,Active
600634.XSHG,*ST富控,StarST,801760.INDX,Active
600469.XSHG,风神股份,Normal,801030.INDX,Active
300305.XSHE,裕兴股份,Normal,801030.INDX,Active
600145.XSHG,*ST新亿,StarST,801710.INDX,Active
002356.XSHE,赫美集团,Normal,801140.INDX,Active
600485.XSHG,信威集团,Normal,801770.INDX,Active
000822.XSHE,山东海化,Normal,801030.INDX,Active
002697.XSHE,红旗连锁,Normal,801200.INDX,Active
002251.XSHE,步步高,Normal,801200.INDX,Active
603617.XSHG,君禾股份,Normal,801890.INDX,Active
600602.XSHG,云赛智联,Normal,801750.INDX,Active
603963.XSHG,大理药业,Normal,801150.INDX,Active
600452.XSHG,涪陵电力,Normal,801160.INDX,Active
002832.XSHE,比音勒芬,Normal,801130.INDX,Active
300690.XSHE,双一科技,Normal,801030.INDX,Active
600425.XSHG,青松建化,Normal,801710.INDX,Active
002734.XSHE,利民股份,Normal,801030.INDX,Active
600671.XSHG,天目药业,Normal,801150.INDX,Active
002059.XSHE,云南旅游,Normal,801210.INDX,Active
300635.XSHE,达安股份,Normal,801720.INDX,Active
000949.XSHE,新乡化纤,Normal,801030.INDX,Active
603506.XSHG,南都物业,Normal,801180.INDX,Active
002072.XSHE,凯瑞德,Normal,801750.INDX,Active
600799.XSHG,*ST龙科,StarST,,Delisted
601678.XSHG,滨化股份,Normal,801030.INDX,Active
300503.XSHE,昊志机电,Normal,801890.INDX,Active
603080.XSHG,新疆火炬,Normal,801160.INDX,Active
300183.XSHE,东软载波,Normal,801770.INDX,Active
600403.XSHG,大有能源,Normal,801020.INDX,Active
603500.XSHG,祥和实业,Normal,801890.INDX,Active
600765.XSHG,中航重机,Normal,801890.INDX,Active
300392.XSHE,腾信股份,Normal,801760.INDX,Active
600546.XSHG,山煤国际,Normal,801020.INDX,Active
300612.XSHE,宣亚国际,Normal,801760.INDX,Active
002615.XSHE,哈尔斯,Normal,801140.INDX,Active
600321.XSHG,*ST正源,StarST,801710.INDX,Active
300181.XSHE,佐力药业,Normal,801150.INDX,Active
600359.XSHG,新农开发,Normal,801010.INDX,Active
300198.XSHE,纳川股份,Normal,801710.INDX,Active
600642.XSHG,申能股份,Normal,801160.INDX,Active
600731.XSHG,湖南海利,Normal,801030.INDX,Active
600057.XSHG,厦门象屿,Normal,801170.INDX,Active
300233.XSHE,金城医药,Normal,801150.INDX,Active
002042.XSHE,华孚时尚,Normal,801130.INDX,Active
002364.XSHE,中恒电气,Normal,801730.INDX,Active
600540.XSHG,新赛股份,Normal,801010.INDX,Active
002930.XSHE,宏川智慧,Normal,801170.INDX,Active
603096.XSHG,新经典,Normal,801760.INDX,Active
002849.XSHE,威星智能,Normal,801890.INDX,Active
603908.XSHG,牧高笛,Normal,801130.INDX,Active
603882.XSHG,金域医学,Normal,801150.INDX,Active
002412.XSHE,汉森制药,Normal,801150.INDX,Active
300030.XSHE,阳普医疗,Normal,801150.INDX,Active
300687.XSHE,赛意信息,Normal,801750.INDX,Active
002044.XSHE,美年健康,Normal,801150.INDX,Active
002496.XSHE,辉丰股份,Normal,801030.INDX,Active
000516.XSHE,国际医学,Normal,801200.INDX,Active
002871.XSHE,伟隆股份,Normal,801890.INDX,Active
603018.XSHG,中设集团,Normal,801720.INDX,Active
002129.XSHE,中环股份,Normal,801730.INDX,Active
002895.XSHE,川恒股份,Normal,801030.INDX,Active
603223.XSHG,恒通股份,Normal,801170.INDX,Active
000958.XSHE,东方能源,Normal,801160.INDX,Active
000995.XSHE,*ST皇台,StarST,801120.INDX,Active
300286.XSHE,安科瑞,Normal,801730.INDX,Active
002913.XSHE,奥士康,Normal,801080.INDX,Active
600180.XSHG,瑞茂通,Normal,801170.INDX,Active
000583.XSHE,S*ST托普,StarST,,Delisted
002246.XSHE,北化股份,Normal,801030.INDX,Active
002572.XSHE,索菲亚,Normal,801140.INDX,Active
600146.XSHG,商赢环球,Normal,801130.INDX,Active
300329.XSHE,海伦钢琴,Normal,801140.INDX,Active
002179.XSHE,中航光电,Normal,801080.INDX,Active
000837.XSHE,秦川机床,Normal,801890.INDX,Active
002015.XSHE,霞客环保,Normal,801030.INDX,Active
300699.XSHE,光威复材,Normal,801030.INDX,Active
601288.XSHG,农业银行,Normal,801780.INDX,Active
002664.XSHE,长鹰信质,Normal,801880.INDX,Active
300362.XSHE,天翔环境,Normal,801890.INDX,Active
300084.XSHE,海默科技,Normal,801890.INDX,Active
603160.XSHG,汇顶科技,Normal,801080.INDX,Active
000757.XSHE,浩物股份,Normal,801880.INDX,Active
300158.XSHE,振东制药,Normal,801150.INDX,Active
300105.XSHE,龙源技术,Normal,801730.INDX,Active
000782.XSHE,美达股份,Normal,801030.INDX,Active
000660.XSHE,*ST南华,StarST,,Delisted
300495.XSHE,美尚生态,Normal,801720.INDX,Active
002382.XSHE,蓝帆医疗,Normal,801030.INDX,Active
002328.XSHE,新朋股份,Normal,801880.INDX,Active
002544.XSHE,杰赛科技,Normal,801770.INDX,Active
600787.XSHG,中储股份,Normal,801170.INDX,Active
002673.XSHE,西部证券,Normal,801790.INDX,Active
002583.XSHE,海能达,Normal,801770.INDX,Active
300430.XSHE,诚益通,Normal,801890.INDX,Active
002408.XSHE,齐翔腾达,Normal,801030.INDX,Active
300397.XSHE,天和防务,Normal,801740.INDX,Active
600532.XSHG,宏达矿业,Normal,801020.INDX,Active
000534.XSHE,万泽股份,Normal,801180.INDX,Active
603488.XSHG,展鹏科技,Normal,801730.INDX,Active
300623.XSHE,捷捷微电,Normal,801080.INDX,Active
002414.XSHE,高德红外,Normal,801080.INDX,Active
002305.XSHE,南国置业,Normal,801180.INDX,Active
603901.XSHG,永创智能,Normal,801890.INDX,Active
600917.XSHG,重庆燃气,Normal,801160.INDX,Active
600560.XSHG,金自天正,Normal,801890.INDX,Active
300227.XSHE,光韵达,Normal,801080.INDX,Active
600087.XSHG,退市长油,Other,,Delisted
002133.XSHE,广宇集团,Normal,801180.INDX,Active
000570.XSHE,苏常柴A,Normal,801890.INDX,Active
600290.XSHG,华仪电气,Normal,801730.INDX,Active
000586.XSHE,汇源通信,Normal,801770.INDX,Active
300301.XSHE,长方集团,Normal,801080.INDX,Active
600583.XSHG,海油工程,Normal,801020.INDX,Active
603158.XSHG,腾龙股份,Normal,801880.INDX,Active
002136.XSHE,安纳达,Normal,801030.INDX,Active
600679.XSHG,上海凤凰,Normal,801880.INDX,Active
300616.XSHE,尚品宅配,Normal,801140.INDX,Active
002284.XSHE,亚太股份,Normal,801880.INDX,Active
000627.XSHE,天茂集团,Normal,801790.INDX,Active
300460.XSHE,惠伦晶体,Normal,801080.INDX,Active
300327.XSHE,中颖电子,Normal,801080.INDX,Active
000411.XSHE,英特集团,Normal,801150.INDX,Active
002213.XSHE,特尔佳,Normal,801880.INDX,Active
000892.XSHE,欢瑞世纪,Normal,801760.INDX,Active
600800.XSHG,天津磁卡,Normal,801750.INDX,Active
300034.XSHE,钢研高纳,Normal,801740.INDX,Active
300683.XSHE,海特生物,Normal,801150.INDX,Active
002680.XSHE,ST长生,ST,801150.INDX,Active
300048.XSHE,合康新能,Normal,801730.INDX,Active
300083.XSHE,劲胜智能,Normal,801080.INDX,Active
002711.XSHE,欧浦智网,Normal,801170.INDX,Active
603969.XSHG,银龙股份,Normal,801890.INDX,Active
002273.XSHE,水晶光电,Normal,801080.INDX,Active
002198.XSHE,嘉应制药,Normal,801150.INDX,Active
002255.XSHE,海陆重工,Normal,801730.INDX,Active
300671.XSHE,富满电子,Normal,801080.INDX,Active
300490.XSHE,华自科技,Normal,801730.INDX,Active
300280.XSHE,紫天科技,Normal,801890.INDX,Active
600615.XSHG,丰华股份,Normal,801050.INDX,Active
600340.XSHG,华夏幸福,Normal,801180.INDX,Active
600818.XSHG,中路股份,Normal,801230.INDX,Active
300663.XSHE,科蓝软件,Normal,801750.INDX,Active
300145.XSHE,中金环境,Normal,801890.INDX,Active
600806.XSHG,退市昆机,Other,,Delisted
300605.XSHE,恒锋信息,Normal,801750.INDX,Active
600743.XSHG,华远地产,Normal,801180.INDX,Active
000029.XSHE,深深房A,Normal,801180.INDX,Active
300001.XSHE,特锐德,Normal,801730.INDX,Active
601108.XSHG,财通证券,Normal,801790.INDX,Active
300478.XSHE,杭州高新,Normal,801030.INDX,Active
600429.XSHG,三元股份,Normal,801120.INDX,Active
601012.XSHG,隆基股份,Normal,801730.INDX,Active
601000.XSHG,唐山港,Normal,801170.INDX,Active
300390.XSHE,天华超净,Normal,801080.INDX,Active
600752.XSHG,*ST哈慈,StarST,,Delisted
000720.XSHE,*ST新能,StarST,801160.INDX,Active
600565.XSHG,迪马股份,Normal,801180.INDX,Active
002265.XSHE,西仪股份,Normal,801880.INDX,Active
603133.XSHG,碳元科技,Normal,801030.INDX,Active
002816.XSHE,和科达,Normal,801890.INDX,Active
600467.XSHG,好当家,Normal,801010.INDX,Active
300268.XSHE,佳沃股份,Normal,801010.INDX,Active
600835.XSHG,上海机电,Normal,801890.INDX,Active
600056.XSHG,中国医药,Normal,801150.INDX,Active
002153.XSHE,石基信息,Normal,801750.INDX,Active
603679.XSHG,华体科技,Normal,801080.INDX,Active
002798.XSHE,帝欧家居,Normal,801140.INDX,Active
600710.XSHG,苏美达,Normal,801200.INDX,Active
300400.XSHE,劲拓股份,Normal,801890.INDX,Active
600038.XSHG,中直股份,Normal,801740.INDX,Active
000014.XSHE,沙河股份,Normal,801180.INDX,Active
002721.XSHE,金一文化,Normal,801140.INDX,Active
600354.XSHG,敦煌种业,Normal,801010.INDX,Active
300496.XSHE,中科创达,Normal,801750.INDX,Active
600936.XSHG,广西广电,Normal,801760.INDX,Active
002741.XSHE,光华科技,Normal,801030.INDX,Active
300273.XSHE,和佳股份,Normal,801150.INDX,Active
000407.XSHE,胜利股份,Normal,801160.INDX,Active
002747.XSHE,埃斯顿,Normal,801730.INDX,Active
002820.XSHE,桂发祥,Normal,801120.INDX,Active
000028.XSHE,国药一致,Normal,801150.INDX,Active
300613.XSHE,富瀚微,Normal,801080.INDX,Active
000825.XSHE,太钢不锈,Normal,801040.INDX,Active
002552.XSHE,*ST宝鼎,StarST,801890.INDX,Active
600747.XSHG,ST大控,ST,801230.INDX,Active
600895.XSHG,张江高科,Normal,801180.INDX,Active
002923.XSHE,润都股份,Normal,801150.INDX,Active
002191.XSHE,劲嘉股份,Normal,801140.INDX,Active
000998.XSHE,隆平高科,Normal,801010.INDX,Active
002743.XSHE,富煌钢构,Normal,801720.INDX,Active
300189.XSHE,神农基因,Normal,801010.INDX,Active
600193.XSHG,*ST创兴,StarST,801720.INDX,Active
600789.XSHG,鲁抗医药,Normal,801150.INDX,Active
002234.XSHE,民和股份,Normal,801010.INDX,Active
000620.XSHE,新华联,Normal,801180.INDX,Active
002756.XSHE,永兴特钢,Normal,801040.INDX,Active
000610.XSHE,西安旅游,Normal,801210.INDX,Active
600677.XSHG,航天通信,Normal,801740.INDX,Active
002553.XSHE,南方轴承,Normal,801880.INDX,Active
603010.XSHG,万盛股份,Normal,801030.INDX,Active
300411.XSHE,金盾股份,Normal,801890.INDX,Active
300615.XSHE,欣天科技,Normal,801770.INDX,Active
002286.XSHE,保龄宝,Normal,801010.INDX,Active
603823.XSHG,百合花,Normal,801030.INDX,Active
002587.XSHE,奥拓电子,Normal,801080.INDX,Active
300676.XSHE,华大基因,Normal,801150.INDX,Active
600391.XSHG,航发科技,Normal,801740.INDX,Active
600172.XSHG,黄河旋风,Normal,801890.INDX,Active
002212.XSHE,南洋股份,Normal,801730.INDX,Active
600661.XSHG,新南洋,Normal,801760.INDX,Active
300348.XSHE,长亮科技,Normal,801750.INDX,Active
600078.XSHG,澄星股份,Normal,801030.INDX,Active
002808.XSHE,苏州恒久,Normal,801080.INDX,Active
002221.XSHE,东华能源,Normal,801030.INDX,Active
600746.XSHG,江苏索普,Normal,801030.INDX,Active
000726.XSHE,鲁泰A,Normal,801130.INDX,Active
600258.XSHG,首旅酒店,Normal,801210.INDX,Active
601100.XSHG,恒立液压,Normal,801890.INDX,Active
000731.XSHE,四川美丰,Normal,801030.INDX,Active
300056.XSHE,三维丝,Normal,801160.INDX,Active
600128.XSHG,弘业股份,Normal,801230.INDX,Active
600639.XSHG,浦东金桥,Normal,801180.INDX,Active
300099.XSHE,精准信息,Normal,801890.INDX,Active
002258.XSHE,利尔化学,Normal,801030.INDX,Active
600318.XSHG,新力金融,Normal,801790.INDX,Active
002470.XSHE,金正大,Normal,801030.INDX,Active
002791.XSHE,坚朗五金,Normal,801710.INDX,Active
603029.XSHG,天鹅股份,Normal,801890.INDX,Active
300435.XSHE,中泰股份,Normal,801890.INDX,Active
600980.XSHG,北矿科技,Normal,801050.INDX,Active
600767.XSHG,ST运盛,ST,801150.INDX,Active
601666.XSHG,平煤股份,Normal,801020.INDX,Active
000523.XSHE,广州浪奇,Normal,801030.INDX,Active
300405.XSHE,科隆股份,Normal,801030.INDX,Active
300558.XSHE,贝达药业,Normal,801150.INDX,Active
300404.XSHE,博济医药,Normal,801150.INDX,Active
603000.XSHG,人民网,Normal,801760.INDX,Active
600797.XSHG,浙大网新,Normal,801750.INDX,Active
300272.XSHE,开能健康,Normal,801110.INDX,Active
000753.XSHE,漳州发展,Normal,801880.INDX,Active
300646.XSHE,侨源气体,Normal,,UNKNOWN
300439.XSHE,美康生物,Normal,801150.INDX,Active
002281.XSHE,光迅科技,Normal,801770.INDX,Active
300700.XSHE,岱勒新材,Normal,801890.INDX,Active
603320.XSHG,迪贝电气,Normal,801730.INDX,Active
600328.XSHG,兰太实业,Normal,801030.INDX,Active
600673.XSHG,东阳光科,Normal,801050.INDX,Active
002030.XSHE,达安基因,Normal,801150.INDX,Active
